CCTV,#genre#
CCTV14,http://120.40.39.246:352/newlive/live/hls/15/live.m3u8
CCTV14,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV14,http://58.56.162.102:4466/newlive/live/hls/15/live.m3u8
CCTV14,http://118.193.115.2:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://183.11.239.36:808/hls/32/index.m3u8
CCTV14,http://183.223.157.33:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://39.165.39.49:85/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://1.24.39.180:9003/hls/15/index.m3u8
CCTV15,http://222.223.41.27:8888/hls/15/index.m3u8
CCTV15,http://27.129.145.110:4433/hls/15/index.m3u8
CCTV15,http://58.56.162.102:4466/newlive/live/hls/16/live.m3u8
CCTV15,http://118.193.115.2:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV15,http://123.130.84.106:8154/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://183.11.239.36:808/hls/102/index.m3u8
CCTV15,http://123.130.84.106:8154/tsfile/live/0015_1.m3u8
CCTV16,http://drive.mxmy.net:8888/udp/239.3.1.184:8001
CCTV16,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV16,http://27.129.145.110:4433/hls/16/index.m3u8
CCTV16,http://112.27.5.218:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://118.122.144.115:8888/newlive/live/hls/17/live.m3u8
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV17,http://txycdn3.video.qq.com/1370437902.m3u8?time=1785228584&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIBWN5R3bsgMel4EFrCDcOMXew5jujiY9cUlGWYlDABIXEOVyuD63Sl0-FfTW7EqFZpwBcJKKeng_2G00YWLsSKXHyJWusV7CJGmDoMW-431slvtitjFszmHpMIFSTGv0EpHJ2YXuB9j5gIR3cg_pCur1Wr9LNIpAe56pwf86V0DtvLLg6FKHDxaYxQ9Evte8jvcif65IniC2JbRO_bhPcE3eeRwhqLzC-YksQr7YUy3cmeOBPCj15jueljMoiq5BCZsolPnSqAkkcwOmkEUbNstdYCRfTnA1ET5GTsckfQYvK7Sz_N762WqmrxHPZypFO0r3-W4GS5_b64dRE7l_38EwuvA69RZW1hQfqzE2OSONZzs0YudLuDGmE1HdjdgQ5-vFhOdI9CGN1DbMmy2I5N3TGhPm81W3AM76qV-MMeWik_-ENY7XXSvDbWTJusDYeilMyoqLXk6Ph-mWJzxTDuBTcYRPtGmzdmQnt9NiFel1ALdEi8BX1bLXUsB3BKRFBYHLr3Qb-ox4tzd969uKNndDHEv30ZtCqSGsrehGnS_QdPXU&drmtype=0
CCTV17,http://8.134.175.232:4022/IPTV-%E5%B9%BF%E4%B8%9C%E7%94%B5%E8%A7%86%E5%8F%B0/CCTV17/2
CCTV17,http://183.129.255.66:8480/hls/18/index.m3u8
CCTV17,http://1.24.39.180:9003/hls/61/index.m3u8
CCTV17,http://121.57.88.206:898/hls/17/index.m3u8
CCTV-3,http://121.57.88.206:898/hls/3/index.m3u8
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-NEWS,http://183.11.239.36:808/hls/34/index.m3u8
CCTV-央视高网,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8
CCTV★移动传媒,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
CCTV央视台球,http://dassby.qqff.top:99/live/央视台球/index.m3u8
CCTV央视台球,http://183.11.239.36:808/hls/73/index.m3u8
CCTV第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
CCTV风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
卫视,#genre#
三沙卫视,http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8
上海卫视,http://112.27.235.94:8000/hls/28/index.m3u8
东南卫视,http://vp.maomizi.cc:9530/rtp/239.77.0.146:5146
东南卫视,http://server.juzhijian.com:8822/rtp/239.16.20.82:10820
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
东南卫视,http://39.165.39.49:85/tsfile/live/1149_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.130.84.106:8154/tsfile/live/0137_1.m3u8
东方卫视,http://27.129.145.110:4433/hls/40/index.m3u8
东方卫视,http://58.56.162.102:4466/newlive/live/hls/22/live.m3u8
东方卫视,http://183.11.239.36:808/hls/114/index.m3u8
东方卫视,http://123.130.84.106:8154/tsfile/live/0107_1.m3u8
东方卫视,http://123.130.84.106:8154/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://39.165.39.49:85/tsfile/live/1128_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
云南卫视,http://183.11.239.36:808/hls/52/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
兵团卫视,http://183.11.239.36:808/hls/7/index.m3u8
内蒙古卫视,http://58.56.162.102:4466/newlive/live/hls/40/live.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
内蒙古卫视,http://cssbyd.imwork.net:8082/hls/44/index.m3u8
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
北京卫视,http://www.marcvision.xyz:8000/rtp/238.1.78.162:7168
北京卫视,http://27.129.145.110:4433/hls/28/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
北京卫视,http://39.165.39.49:85/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://dassby.qqff.top:99/live/厦门卫视/index.m3u8
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
吉林卫视,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=jilin&videoTVChannel=jilin&P2PChannelID=pd://cctv_p2p_hdjilin&tai=jilin&VideoName=jilin&channelID=jilin
吉林卫视,http://cssbyd.imwork.net:8082/hls/41/index.m3u8
四川卫视,http://ds3622.guangyuan.site:8188/rtp/239.77.0.159:5146
四川卫视,http://home.scanflove.com:7788/rtp/235.254.198.175:7980
四川卫视,http://emby.xlangnan.cn:10316/rtp/239.254.200.202:6325
四川卫视,http://27.129.145.110:4433/hls/35/index.m3u8
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8
天津卫视,http://27.129.145.110:4433/hls/29/index.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
宁夏卫视,http://cssbyd.imwork.net:8082/hls/45/index.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
安徽卫视,http://221.226.51.220:50081/newlive/live/hls/36/live.m3u8
安徽卫视,http://27.129.145.110:4433/hls/26/index.m3u8
安徽卫视,http://58.56.162.102:4466/newlive/live/hls/21/live.m3u8
安徽卫视,http://123.130.84.106:8154/tsfile/live/0130_1.m3u8
安徽卫视,http://123.130.84.106:8154/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
